C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S0_proc_SuporteTecnicoDS_Estruturado.json - _0_0_0_0_2_0
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S13_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S14_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S15_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S16_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S17_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S18_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S19_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S20_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S21_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S22_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S23_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S24_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S25_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S26_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S27_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S28_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S29_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S30_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S31_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S32_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S33_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S34_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S35_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S36_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S37_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S38_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S39_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S40_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S41_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S42_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S43_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S44_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S45_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S46_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S47_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S48_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S49_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S50_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S51_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S52_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S53_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S54_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S55_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S56_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S57_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S58_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S59_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S60_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S61_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S62_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S63_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S64_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S65_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S66_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S67_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S68_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S69_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S70_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S71_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S72_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S73_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S74_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S75_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S76_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S77_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S78_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S79_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S80_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S81_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S82_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S83_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S84_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S85_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S86_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S87_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S88_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S89_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S90_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S91_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S92_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S93_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S94_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S95_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S96_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S97_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S98_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S99_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S100_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S101_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S102_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S103_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S104_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S105_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S106_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S107_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S108_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S109_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S110_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S111_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S112_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S113_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S114_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S115_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S116_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S117_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S118_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S119_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S120_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S121_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S122_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S123_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S124_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S125_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S126_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S127_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S128_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S129_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S130_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S131_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S132_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S133_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S134_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S135_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
