C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S0_ReparodeComputadorDS_Estruturado.json - _0_0_0_1_0_0_0
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S1_ReparodeComputadorDS_Estruturado.json - _0_0_0_2_0_0_0
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S2_ReparodeComputadorDS_Estruturado.json - _0_0_0_0_0_0_0
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S34_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S35_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S36_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S37_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S38_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S39_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S40_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S41_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S42_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S43_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S44_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S45_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S46_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S47_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S48_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S49_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S50_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S51_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S52_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S53_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S54_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S55_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S56_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S57_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S58_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S59_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S60_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S61_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S62_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S63_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S64_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S65_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S66_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S67_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S68_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S69_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S70_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S71_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S72_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S73_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S74_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S75_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S76_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S77_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S78_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S79_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S80_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S81_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S82_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S83_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S84_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S85_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S86_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S87_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S88_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S89_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S90_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S91_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S92_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S93_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S94_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S95_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S96_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S97_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S98_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S99_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S100_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S101_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S102_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S103_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S104_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S105_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S106_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S107_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S108_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S109_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S110_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S111_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S112_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S113_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S114_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S115_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S116_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S117_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S118_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S119_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S120_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S121_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S122_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S123_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S124_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S125_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S126_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S127_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S128_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S129_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S130_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S131_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S132_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S133_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S134_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S135_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S136_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S137_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S138_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S139_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S140_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S141_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
